sector_proxy,year,partner_sum_eur,extra_eu_import_eur,partner_sum_vs_aggregate_pct
C17,2008,12653047130.0,12604662925.0,0.3838595707627679
C17,2009,10675557717.0,10647568254.0,0.26287188146914
C17,2010,13251395181.0,13202456499.0,0.370678608209829
C17,2011,13532707441.0,13394703792.0,1.030285186914126
C17,2012,12511536888.0,12291533490.0,1.7898775460278182
C17,2013,11844842231.0,11643107957.0,1.7326496906585387
C17,2014,11876921409.0,11737382738.0,1.188839744896808
C17,2015,13144865818.0,13035136471.0,0.8417966873160099
C17,2016,12645036746.0,12569701448.0,0.5993403925435903
C17,2017,13078624668.0,12996967163.0,0.6282812288120887
C17,2018,14532230457.0,14307750427.0,1.5689400730417136
C17,2019,13817161484.0,13632154080.0,1.3571399128434747
C17,2020,11947204828.0,11818114602.0,1.0923081248353617
C17,2021,13819256110.0,13710180248.0,0.795582990354271
C17,2022,19512933259.0,19371099987.0,0.732190077461703
C19,2008,464066638418.0,447544313883.0,3.6917739813625117
C19,2009,300096667115.0,290384526187.0,3.344579360177624
C19,2010,383672731681.0,373335273359.0,2.768947661706611
C19,2011,492189473556.0,477174799039.0,3.146577427650965
C19,2012,541932546564.0,526403849326.0,2.9499589066232623
C19,2013,500612625764.0,482976865342.0,3.651471051209043
C19,2014,440505256124.0,427638374340.0,3.0088230046843245
C19,2015,329498516062.0,314388912186.0,4.806023142145932
C19,2016,266228421718.0,255056419719.0,4.380208116819162
C19,2017,333840230066.0,319613731918.0,4.451153604266889
C19,2018,410509693083.0,392241715707.0,4.65732650161208
C19,2019,383487866781.0,363297917388.0,5.557408514246243
C19,2020,236739689441.0,221371283999.0,6.942366310740389
C19,2021,406297975802.0,390462348478.0,4.055609301569385
C19,2022,859130061738.0,831388546107.0,3.3367690426937546
C20,2008,135547238518.0,130487253489.0,3.877761922107248
C20,2009,125979657996.0,120569163523.0,4.487461233790424
C20,2010,148297097683.0,140588617740.0,5.483004290756899
C20,2011,155354436084.0,153011257933.0,1.5313763069813024
C20,2012,163870202826.0,160118364854.0,2.343165304879946
C20,2013,160639706865.0,157140249447.0,2.2269644030190383
C20,2014,166280319647.0,162632406401.0,2.2430420398536155
C20,2015,182075586061.0,179471872015.0,1.4507644104711837
C20,2016,182960717763.0,179461988940.0,1.9495653891196563
C20,2017,192455796524.0,190055120514.0,1.263147240393958
C20,2018,198591036857.0,196012695208.0,1.3153952330811958
C20,2019,210231390973.0,207434159344.0,1.3484913178456681
C20,2020,212910067637.0,210022717573.0,1.3747798797034472
C20,2021,242342275025.0,237735846052.0,1.9376249099567477
C20,2022,321688808416.0,317160238289.0,1.4278492636499829
C23,2008,17050019443.0,16937573826.0,0.6638826679379095
C23,2009,11950661846.0,11857250213.0,0.7878018201689541
C23,2010,14811799476.0,14722547806.0,0.6062243517635402
C23,2011,15772389867.0,15663319628.0,0.696341781885268
C23,2012,15050037441.0,14953728302.0,0.6440476719582922
C23,2013,13865949040.0,13788833347.0,0.5592619118627518
C23,2014,15007446480.0,14918678414.0,0.5950129330269505
C23,2015,16351816944.0,16215882766.0,0.8382780016454872
C23,2016,16712845983.0,16560096376.0,0.9223956402897304
C23,2017,17874905698.0,17706698417.0,0.9499641154926186
C23,2018,19196601333.0,19009476738.0,0.9843753070064132
C23,2019,19963708645.0,19773225120.0,0.9633406985658288
C23,2020,17824809901.0,17624299812.0,1.1376910920652739
C23,2021,22437772943.0,22225999607.0,0.9528180497821337
C23,2022,27816583014.0,27550905006.0,0.964316808983745
C24,2008,107704155983.0,107215748958.0,0.45553664433322094
C24,2009,56238560746.0,55777096042.0,0.8273372705752235
C24,2010,82309853401.0,81604292562.0,0.8646124080592177
C24,2011,99768208147.0,98791965163.0,0.9881805492878648
C24,2012,87018917804.0,84862748128.0,2.5407728639046834
C24,2013,82202870966.0,80383204155.0,2.2637400811881037
C24,2014,85475988622.0,83898299014.0,1.880478658735063
C24,2015,90054393772.0,88675940569.0,1.5544838815974016
C24,2016,85498663857.0,84122122827.0,1.6363603101539725
C24,2017,101811851015.0,100383099100.0,1.4232992683127943
C24,2018,113974967576.0,112596436572.0,1.2243113956084128
C24,2019,105458260382.0,104250565874.0,1.1584536715701477
C24,2020,88016512892.0,86958150020.0,1.2170945124253318
C24,2021,131731193279.0,130249008827.0,1.1379621736459233
C24,2022,175337665472.0,173245372433.0,1.2077050079990714
