sector,scenario,trend_window,year,imports_mtco2e,exports_mtco2e,net_imports_mtco2e,observed_or_projected
C19,Observed history,Observed,2008,102.077,68.634,33.443,Observed
C19,Observed history,Observed,2009,75.466,51.512,23.953999999999994,Observed
C19,Observed history,Observed,2010,90.199,50.787,39.412,Observed
C19,Observed history,Observed,2011,110.14,59.326,50.814,Observed
C19,Observed history,Observed,2012,96.05799999999999,59.062,36.995999999999995,Observed
C19,Observed history,Observed,2013,102.047,58.660000000000004,43.38699999999999,Observed
C19,Observed history,Observed,2014,92.648,56.9,35.748,Observed
C19,Observed history,Observed,2015,83.808,53.884,29.924000000000007,Observed
C19,Observed history,Observed,2016,84.132,48.458,35.67400000000001,Observed
C19,Observed history,Observed,2017,90.041,52.77,37.270999999999994,Observed
C19,Observed history,Observed,2018,97.359,56.418,40.940999999999995,Observed
C19,Observed history,Observed,2019,92.598,54.973,37.625,Observed
C19,Observed history,Observed,2020,80.646,39.845,40.801,Observed
C19,Observed history,Observed,2021,100.994,42.689,58.305,Observed
C19,Observed history,Observed,2022,133.48499999999999,46.371,87.11399999999998,Observed
C19,Long-run (2008–2022),2008–2022,2022,133.48499999999999,46.371,87.11399999999998,Observed baseline
C19,Long-run (2008–2022),2008–2022,2023,134.47358197494944,45.404167378167095,89.06941459678234,Projected
C19,Long-run (2008–2022),2008–2022,2024,135.4694853292389,44.45749315961728,91.0119921696216,Projected
C19,Long-run (2008–2022),2008–2022,2025,136.47276428456843,43.530557042828086,92.94220724174033,Projected
C19,Long-run (2008–2022),2008–2022,2026,137.483473464201,42.62294748953909,94.86052597466193,Projected
C19,Long-run (2008–2022),2008–2022,2027,138.50166789593607,41.73426154203833,96.76740635389774,Projected
C19,Long-run (2008–2022),2008–2022,2028,139.5274030151057,40.86410464425848,98.66329837084723,Projected
C19,Long-run (2008–2022),2008–2022,2029,140.56073466759284,40.01209046660299,100.54864420098986,Projected
C19,Long-run (2008–2022),2008–2022,2030,141.6017191128716,39.17784073442466,102.42387837844693,Projected
C19,Middle-period (2013–2022),2013–2022,2022,133.48499999999999,46.371,87.11399999999998,Observed baseline
C19,Middle-period (2013–2022),2013–2022,2023,136.09433387303486,44.934812617699954,91.15952125533491,Projected
C19,Middle-period (2013–2022),2013–2022,2024,138.7546744004576,43.54310635931524,95.21156804114236,Projected
C19,Middle-period (2013–2022),2013–2022,2025,141.4670186485382,42.194503570084954,99.27251507845324,Projected
C19,Middle-period (2013–2022),2013–2022,2026,144.23238317396715,40.88766926351899,103.34471391044816,Projected
C19,Middle-period (2013–2022),2013–2022,2027,147.05180440484986,39.621309799890355,107.4304946049595,Projected
C19,Middle-period (2013–2022),2013–2022,2028,149.92633902914827,38.39417160565681,111.53216742349146,Projected
C19,Middle-period (2013–2022),2013–2022,2029,152.85706439071598,37.205039932544146,115.65202445817184,Projected
C19,Middle-period (2013–2022),2013–2022,2030,155.84507889307477,36.052737655062764,119.792341238012,Projected
C19,Recent (2018–2022),2018–2022,2022,133.48499999999999,46.371,87.11399999999998,Observed baseline
C19,Recent (2018–2022),2018–2022,2023,143.42112829291187,43.47392692333822,99.94720136957366,Projected
C19,Recent (2018–2022),2018–2022,2024,154.0968651220129,40.757851289291835,113.33901383272107,Projected
C19,Recent (2018–2022),2018–2022,2025,165.5672642034667,38.211465107566355,127.35579909590034,Projected
C19,Recent (2018–2022),2018–2022,2026,177.89147724786932,35.824166865498434,142.0673103823709,Projected
C19,Recent (2018–2022),2018–2022,2027,191.13305899975492,33.586017390182505,157.54704160957243,Projected
C19,Recent (2018–2022),2018–2022,2028,205.36029498311083,31.487698468153823,173.87259651495702,Projected
C19,Recent (2018–2022),2018–2022,2029,220.6465536430533,29.520474050346724,191.12607959270656,Projected
C19,Recent (2018–2022),2018–2022,2030,237.07066469962328,27.676153880810755,209.39451081881253,Projected
C20,Observed history,Observed,2008,126.203,100.81400000000001,25.388999999999996,Observed
C20,Observed history,Observed,2009,95.458,83.874,11.584000000000003,Observed
C20,Observed history,Observed,2010,107.695,90.334,17.36099999999999,Observed
C20,Observed history,Observed,2011,111.215,97.798,13.417000000000002,Observed
C20,Observed history,Observed,2012,102.935,102.565,0.37000000000000455,Observed
C20,Observed history,Observed,2013,97.31,97.44500000000001,-0.13500000000000512,Observed
C20,Observed history,Observed,2014,105.181,94.231,10.950000000000003,Observed
C20,Observed history,Observed,2015,88.955,91.542,-2.5870000000000033,Observed
C20,Observed history,Observed,2016,85.728,88.037,-2.3090000000000117,Observed
C20,Observed history,Observed,2017,96.057,96.405,-0.347999999999999,Observed
C20,Observed history,Observed,2018,106.693,92.17699999999999,14.516000000000005,Observed
C20,Observed history,Observed,2019,97.737,91.769,5.967999999999989,Observed
C20,Observed history,Observed,2020,89.973,79.97,10.003,Observed
C20,Observed history,Observed,2021,109.712,100.804,8.908000000000001,Observed
C20,Observed history,Observed,2022,139.34,97.045,42.295,Observed
C20,Long-run (2008–2022),2008–2022,2022,139.34,97.045,42.295,Observed baseline
C20,Long-run (2008–2022),2008–2022,2023,139.3348512878043,96.89359514011902,42.44125614768528,Projected
C20,Long-run (2008–2022),2008–2022,2024,139.32970276585715,96.74242649469109,42.58727627116606,Projected
C20,Long-run (2008–2022),2008–2022,2025,139.32455443415157,96.59149369518596,42.733060738965605,Projected
C20,Long-run (2008–2022),2008–2022,2026,139.3194062926805,96.44079637364838,42.878609919032115,Projected
C20,Long-run (2008–2022),2008–2022,2027,139.3142583414369,96.29033416269715,43.02392417873975,Projected
C20,Long-run (2008–2022),2008–2022,2028,139.3091105804138,96.14010669552422,43.16900388488958,Projected
C20,Long-run (2008–2022),2008–2022,2029,139.3039630096041,95.99011360589387,43.313849403710236,Projected
C20,Long-run (2008–2022),2008–2022,2030,139.29881562900084,95.84035452814169,43.458461100859154,Projected
C20,Middle-period (2013–2022),2013–2022,2022,139.34,97.045,42.295,Observed baseline
C20,Middle-period (2013–2022),2013–2022,2023,142.82981850465055,96.95032728791038,45.87949121674016,Projected
C20,Middle-period (2013–2022),2013–2022,2024,146.40704072105217,96.85574693423608,49.55129378681609,Projected
C20,Middle-period (2013–2022),2013–2022,2025,150.07385570540305,96.7612588488764,53.31259685652665,Projected
C20,Middle-period (2013–2022),2013–2022,2026,153.83250733957104,96.66686294181855,57.16564439775249,Projected
C20,Middle-period (2013–2022),2013–2022,2027,157.6852957042217,96.57255912313755,61.112736581084135,Projected
C20,Middle-period (2013–2022),2013–2022,2028,161.63457848633652,96.47834730299614,65.15623118334038,Projected
C20,Middle-period (2013–2022),2013–2022,2029,165.68277242198317,96.38422739164471,69.29854503033846,Projected
C20,Middle-period (2013–2022),2013–2022,2030,169.83235477522015,96.29019929942122,73.54215547579894,Projected
C20,Recent (2018–2022),2018–2022,2022,139.34,97.045,42.295,Observed baseline
C20,Recent (2018–2022),2018–2022,2023,148.69052499062016,98.97407691843468,49.716448072185486,Projected
C20,Recent (2018–2022),2018–2022,2024,158.66852463030173,100.94150035402362,57.727024276278115,Projected
C20,Recent (2018–2022),2018–2022,2025,169.3161061200424,102.94803256531848,66.36807355472392,Projected
C20,Recent (2018–2022),2018–2022,2026,180.67820229910046,104.99445096317531,75.68375133592515,Projected
C20,Recent (2018–2022),2018–2022,2027,192.8027612617678,107.08154841195457,85.72121284981324,Projected
C20,Recent (2018–2022),2018–2022,2028,205.74094869853207,109.21013353670851,96.53081516182355,Projected
C20,Recent (2018–2022),2018–2022,2029,219.5473638155087,111.38103103647492,108.16633277903378,Projected
C20,Recent (2018–2022),2018–2022,2030,234.28026974332334,113.59508200379851,120.68518773952484,Projected
C23,Observed history,Observed,2008,33.841,28.608,5.2330000000000005,Observed
C23,Observed history,Observed,2009,24.712,21.706,3.0060000000000002,Observed
C23,Observed history,Observed,2010,26.894000000000002,24.554,2.3400000000000034,Observed
C23,Observed history,Observed,2011,25.025,27.485,-2.460000000000001,Observed
C23,Observed history,Observed,2012,24.213,27.232,-3.0189999999999984,Observed
C23,Observed history,Observed,2013,24.441,27.308,-2.867000000000001,Observed
C23,Observed history,Observed,2014,28.268,27.327,0.940999999999999,Observed
C23,Observed history,Observed,2015,27.612000000000002,28.562,-0.9499999999999993,Observed
C23,Observed history,Observed,2016,27.858,27.111,0.7469999999999999,Observed
C23,Observed history,Observed,2017,33.318,26.982,6.3359999999999985,Observed
C23,Observed history,Observed,2018,36.923,28.139,8.784000000000002,Observed
C23,Observed history,Observed,2019,35.848,28.041,7.806999999999999,Observed
C23,Observed history,Observed,2020,38.669000000000004,24.927,13.742000000000004,Observed
C23,Observed history,Observed,2021,44.07,27.468,16.602,Observed
