sector,indicator,indicator_label,scenario,trend_window,year,value,unit,index_2022_100,observed_or_projected
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2008,377406.1491625492,million 2020 euros,104.0405707320734,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2009,332017.1641604782,million 2020 euros,91.52806685516627,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2010,360597.8335017722,million 2020 euros,99.40697703395138,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2011,368259.4764818144,million 2020 euros,101.51908281218994,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2012,373278.2217551549,million 2020 euros,102.90261385363131,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2013,368467.3060110723,million 2020 euros,101.57637573888694,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2014,369945.30331294367,million 2020 euros,101.98381924018751,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2015,378619.17173906544,million 2020 euros,104.37496793638945,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2016,379162.9259307468,million 2020 euros,104.52486612052347,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2017,391585.7706435233,million 2020 euros,107.94950521795515,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2018,383526.03484446,million 2020 euros,105.72765611892758,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2019,381483.7089935219,million 2020 euros,105.16464264491832,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2020,371886.853665,million 2020 euros,102.51905166070114,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2021,391950.27911371726,million 2020 euros,108.0499902507502,Observed
C20,production_million_2020_eur,EU sold production value,Observed history,Observed,2022,362749.018490537,million 2020 euros,100.0,Observed
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2023,364360.64707637444,million 2020 euros,100.4442819976588,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2024,365979.4358378878,million 2020 euros,100.89053786025201,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2025,367605.41658644885,million 2020 euros,101.33877635730626,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2026,369238.62127476104,million 2020 euros,101.78900629730947,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2027,370879.08199748833,million 2020 euros,102.2412365278842,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2028,372526.8309918854,million 2020 euros,102.69547593596133,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2029,374181.90063843114,million 2020 euros,103.15173344795483,Projected
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008–2022,2030,375844.3234614652,million 2020 euros,103.61001802993708,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2023,363126.24230349954,million 2020 euros,100.10399030562019,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2024,363503.858392658,million 2020 euros,100.20808875107699,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2025,363881.8671659416,million 2020 euros,100.31229544882537,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2026,364260.26903170394,million 2020 euros,100.41661051143723,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2027,364639.0643987229,million 2020 euros,100.52103405160149,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2028,365018.2536762016,million 2020 euros,100.6255661821243,Projected
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013–2022,2029,365397.837273769,million 2020 euros,100.73020701592914,Projected
