sector,indicator,indicator_label,scenario,trend_start_year,trend_end_year,base_year,base_value,unit,annual_compound_change_pct,value_2030,index_2030_2022_100,forecast_is_probability
C20,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008,2022,2022,362749.018490537,million 2020 euros,0.44428199765880194,375844.3234614652,103.61001802993708,False
C20,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013,2022,2022,362749.018490537,million 2020 euros,0.10399030562018297,365777.8156014795,100.83495666605684,False
C20,production_million_2020_eur,EU sold production value,Recent pace (2018–2022),2018,2022,2022,362749.018490537,million 2020 euros,-0.8397124976612158,339084.9108284695,93.47645163575133,False
C20,domestic_emissions_mt,EU industry emissions,Long-run pace (2008–2022),2008,2022,2022,130.22668945,Mt CO₂e,-1.9178390812830237,111.53731986007944,85.6485873449956,False
C20,domestic_emissions_mt,EU industry emissions,Middle-period pace (2013–2022),2013,2022,2022,130.22668945,Mt CO₂e,-1.6068788740412399,114.39785900991856,87.84517174863848,False
C20,domestic_emissions_mt,EU industry emissions,Recent pace (2018–2022),2018,2022,2022,130.22668945,Mt CO₂e,-3.491084862998195,98.00302252577931,75.25571212758746,False
C20,extra_eu_import_million_2020_eur,Extra-EU imports,Long-run pace (2008–2022),2008,2022,2022,219005.86802726792,million 2020 euros,3.8452882717931125,296176.1759836996,135.23663938850413,False
C20,extra_eu_import_million_2020_eur,Extra-EU imports,Middle-period pace (2013–2022),2013,2022,2022,219005.86802726792,million 2020 euros,4.176945141429411,303828.63085999055,138.73081739625422,False
C20,extra_eu_import_million_2020_eur,Extra-EU imports,Recent pace (2018–2022),2018,2022,2022,219005.86802726792,million 2020 euros,3.794986185907989,295030.3910655225,134.7134639464496,False
C20,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Long-run pace (2008–2022),2008,2022,2022,139.34,Mt CO₂e,-0.0036950711897576483,139.2988156290002,99.97044325319376,False
C20,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Middle-period pace (2013–2022),2013,2022,2022,139.34,Mt CO₂e,2.504534594984009,169.8323547752221,121.8834180961835,False
C20,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Recent pace (2018–2022),2018,2022,2022,139.34,Mt CO₂e,6.710582022835476,234.28026974330822,168.1356894956999,False
C23,production_million_2020_eur,EU sold production value,Long-run pace (2008–2022),2008,2022,2022,171455.7045157725,million 2020 euros,-0.02191946530549771,171155.2776840793,99.82477874822442,False
C23,production_million_2020_eur,EU sold production value,Middle-period pace (2013–2022),2013,2022,2022,171455.7045157725,million 2020 euros,1.4953628641031447,193072.99958738947,112.60809322890061,False
C23,production_million_2020_eur,EU sold production value,Recent pace (2018–2022),2018,2022,2022,171455.7045157725,million 2020 euros,1.612204129521566,194858.30261348543,113.64935518698947,False
C23,domestic_emissions_mt,EU industry emissions,Long-run pace (2008–2022),2008,2022,2022,169.08143361999998,Mt CO₂e,-1.4384750002485513,150.57582026623516,89.05520673821879,False
C23,domestic_emissions_mt,EU industry emissions,Middle-period pace (2013–2022),2013,2022,2022,169.08143361999998,Mt CO₂e,-0.09249706234292221,167.83431377408095,99.26241467249334,False
C23,domestic_emissions_mt,EU industry emissions,Recent pace (2018–2022),2018,2022,2022,169.08143361999998,Mt CO₂e,-1.5217821888536487,149.56065725700216,88.45480787271443,False
C23,extra_eu_import_million_2020_eur,Extra-EU imports,Long-run pace (2008–2022),2008,2022,2022,23679.418610164532,million 2020 euros,2.4915455344572512,28832.040051583434,121.75991533511346,False
C23,extra_eu_import_million_2020_eur,Extra-EU imports,Middle-period pace (2013–2022),2013,2022,2022,23679.418610164532,million 2020 euros,4.547863510658456,33798.10360076177,142.73198239019996,False
C23,extra_eu_import_million_2020_eur,Extra-EU imports,Recent pace (2018–2022),2018,2022,2022,23679.418610164532,million 2020 euros,5.15975379989817,35413.39148642479,149.55346695557543,False
C23,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Long-run pace (2008–2022),2008,2022,2022,51.412,Mt CO₂e,4.2010452163067535,71.45639485054123,138.98777493686538,False
C23,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Middle-period pace (2013–2022),2013,2022,2022,51.412,Mt CO₂e,7.768170150379539,93.53810546660782,181.9382740733833,False
C23,extra_eu_embodied_import_carbon_mtco2e,Carbon embodied in imports,Recent pace (2018–2022),2018,2022,2022,51.412,Mt CO₂e,9.07401899957061,102.99947813565878,200.34131746607557,False
