cn8_code,year,extra_eu_import_quantity_100kg
15180010,2008,169.0
15180010,2009,608.0
15180010,2010,808.54
15180010,2011,585.91
15180010,2012,1558.54
15180010,2013,4137.04
15180010,2014,879.78
15180010,2015,4215.52
15180010,2016,5599.28
15180010,2017,1949.24
15180010,2018,4416.5
15180010,2019,41817.79
15180010,2020,12639.97
15180010,2021,8181.81
15180010,2022,1579.23
15180031,2008,6554.0
15180031,2009,11016.0
15180031,2010,7354.93
15180031,2011,20339.17
15180031,2012,19001.94
15180031,2013,21169.52
15180031,2014,54184.96
15180031,2015,28122.71
15180031,2016,61927.58
15180031,2017,46297.28
15180031,2018,2320.18
15180031,2019,18249.21
15180031,2020,5746.18
15180031,2021,80016.42
15180031,2022,133134.5
15180039,2008,106635.2
15180039,2009,73322.0
15180039,2010,87663.61
15180039,2011,104829.03
15180039,2012,87185.4
15180039,2013,124460.14
15180039,2014,75495.11
15180039,2015,25292.37
15180039,2016,11256.93
15180039,2017,22787.97
15180039,2018,31882.72
15180039,2019,111015.64
15180039,2020,133975.42
15180039,2021,25169.82
15180039,2022,66810.89
15180091,2008,71444.1
15180091,2009,83169.3
15180091,2010,125187.45
15180091,2011,129294.52
15180091,2012,308537.85
15180091,2013,178139.98
15180091,2014,142543.67
15180091,2015,131661.28
15180091,2016,128177.46
15180091,2017,1971935.63
15180091,2018,2143859.09
15180091,2019,1832433.86
15180091,2020,2339521.19
15180091,2021,2470451.69
15180091,2022,2689317.16
15180095,2008,1198980.0
15180095,2009,895059.0
15180095,2010,1688344.45
15180095,2011,2383766.05
15180095,2012,2517719.57
15180095,2013,3222579.37
15180095,2014,4449110.63
15180095,2015,4788578.19
15180095,2016,7418225.78
15180095,2017,9105693.15
15180095,2018,10971143.88
15180095,2019,12804091.2
15180095,2020,16246410.19
15180095,2021,16086592.22
15180095,2022,19799174.4
15180099,2008,121497.0
15180099,2009,101756.15
15180099,2010,192295.51
15180099,2011,431861.6
15180099,2012,548926.35
15180099,2013,1537531.41
15180099,2014,1353863.99
15180099,2015,1538644.84
15180099,2016,1321857.17
15180099,2017,1015782.75
15180099,2018,825337.32
15180099,2019,846530.26
15180099,2020,866867.75
15180099,2021,1356461.09
15180099,2022,1396570.87
15200000,2008,171033.34
15200000,2009,261539.75
15200000,2010,153415.61
15200000,2011,584867.95
15200000,2012,1250115.45
15200000,2013,862903.23
15200000,2014,501747.07
15200000,2015,585161.42
15200000,2016,742300.33
