year,sector,prodcom_code,product_label,indicator,value,quantity_kg_candidate,prodcom_unit,quantity_flag,cn8_codes_joined,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg,production_kg,production_confidential,extra_eu_import_share_prod_plus_import_pct
2008,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8499302880,8499302880,KG,:E,48010000,1,1,12426866.0,1242686600.0,8499302880,False,12.755983801370313
2009,C17,17121100,Newsprint in rolls or sheets,PRODQNT,7895615964,7895615964,KG,,48010000,1,1,12696498.04,1269649804.0,7895615964,False,13.85284219943637
2010,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8371671644,8371671644,KG,,48010000,1,1,11454534.14,1145453414.0,8371671644,False,12.035708336491211
2011,C17,17121100,Newsprint in rolls or sheets,PRODQNT,8235367732,8235367732,KG,:R,48010000,1,1,12257041.6,1225704160.0,8235367732,False,12.95523566453838
2012,C17,17121100,Newsprint in rolls or sheets,PRODQNT,7542438278,7542438278,KG,,48010000,1,1,10910123.58,1091012358.0,7542438278,False,12.637037078206792
2013,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6961733923,6961733923,KG,,48010000,1,1,10055848.43,1005584843.0,6961733923,False,12.62137078399908
2014,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6481454684,6481454684,KG,,48010000,1,1,10632254.89,1063225489.0,6481454684,False,14.092386484518514
2015,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6514971066,6514971066,KG,:R,48010000,1,1,9130503.43,913050343.0,6514971066,False,12.291972420727308
2016,C17,17121100,Newsprint in rolls or sheets,PRODQNT,6430433579,6430433579,KG,,48010000,1,1,9133792.05,913379205.0000001,6430433579,False,12.437397736908324
2017,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5925260835,5925260835,KG,:R,48010000,1,1,8893298.78,889329877.9999999,5925260835,False,13.050378451980258
2018,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5597169534,5597169534,KG,:R,48010000,1,1,7646844.8,764684480.0,5597169534,False,12.019836958176388
2019,C17,17121100,Newsprint in rolls or sheets,PRODQNT,5532297691,5532297691,KG,:R,48010000,1,1,7347306.13,734730613.0,5532297691,False,11.723748120477612
2020,C17,17121100,Newsprint in rolls or sheets,PRODQNT,4305281598,4305281598,KG,,48010000,1,1,5599161.07,559916107.0,4305281598,False,11.508599258455007
2021,C17,17121100,Newsprint in rolls or sheets,PRODQNT,3900000000,3900000000,KG,:R,48010000,1,1,6875823.66,687582366.0,3900000000,False,14.987902366525052
2022,C17,17121100,Newsprint in rolls or sheets,PRODQNT,3600000000,3600000000,KG,:R,48010000,1,1,8200576.6,820057660.0,3600000000,False,18.553098694192148
