prodcom_code,sector,product_label,year,extra_eu_import_cn8_components,extra_eu_import_components_reported,extra_eu_import_quantity_100kg,extra_eu_import_kg
17121100,C17,Newsprint in rolls or sheets,2008,1,1,12426866.0,1242686600.0
17121100,C17,Newsprint in rolls or sheets,2009,1,1,12696498.04,1269649804.0
17121100,C17,Newsprint in rolls or sheets,2010,1,1,11454534.14,1145453414.0
17121100,C17,Newsprint in rolls or sheets,2011,1,1,12257041.6,1225704160.0
17121100,C17,Newsprint in rolls or sheets,2012,1,1,10910123.58,1091012358.0
17121100,C17,Newsprint in rolls or sheets,2013,1,1,10055848.43,1005584843.0
17121100,C17,Newsprint in rolls or sheets,2014,1,1,10632254.89,1063225489.0
17121100,C17,Newsprint in rolls or sheets,2015,1,1,9130503.43,913050343.0
17121100,C17,Newsprint in rolls or sheets,2016,1,1,9133792.05,913379205.0000001
17121100,C17,Newsprint in rolls or sheets,2017,1,1,8893298.78,889329877.9999999
17121100,C17,Newsprint in rolls or sheets,2018,1,1,7646844.8,764684480.0
17121100,C17,Newsprint in rolls or sheets,2019,1,1,7347306.13,734730613.0
17121100,C17,Newsprint in rolls or sheets,2020,1,1,5599161.07,559916107.0
17121100,C17,Newsprint in rolls or sheets,2021,1,1,6875823.66,687582366.0
17121100,C17,Newsprint in rolls or sheets,2022,1,1,8200576.6,820057660.0
17121200,C17,Handmade paper and paperboard,2008,1,1,29774.97,2977497.0
17121200,C17,Handmade paper and paperboard,2009,1,1,21137.19,2113719.0
17121200,C17,Handmade paper and paperboard,2010,1,1,20916.45,2091645.0
17121200,C17,Handmade paper and paperboard,2011,1,1,31026.78,3102678.0
17121200,C17,Handmade paper and paperboard,2012,1,1,29970.62,2997062.0
17121200,C17,Handmade paper and paperboard,2013,1,1,22515.87,2251587.0
17121200,C17,Handmade paper and paperboard,2014,1,1,10704.89,1070489.0
17121200,C17,Handmade paper and paperboard,2015,1,1,13428.76,1342876.0
17121200,C17,Handmade paper and paperboard,2016,1,1,11961.11,1196111.0
17121200,C17,Handmade paper and paperboard,2017,1,1,11879.01,1187901.0
17121200,C17,Handmade paper and paperboard,2018,1,1,43040.53,4304053.0
17121200,C17,Handmade paper and paperboard,2019,1,1,19940.05,1994005.0
17121200,C17,Handmade paper and paperboard,2020,1,1,8310.43,831043.0
17121200,C17,Handmade paper and paperboard,2021,1,1,51981.88,5198188.0
17121200,C17,Handmade paper and paperboard,2022,1,1,36451.43,3645143.0
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",2008,3,3,357877.13,35787713.0
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",2009,3,3,404632.0,40463200.0
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",2010,3,3,380651.2,38065120.0
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",2011,3,3,256076.40999999997,25607640.999999996
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base",2012,3,3,267277.52999999997,26727752.999999996
