sector,year,imported_embodied_ghg_mt,exported_embodied_ghg_mt,net_embodied_trade_mt
C19,2008,102.077,68.634,33.443
C19,2009,75.466,51.512,23.953999999999994
C19,2010,90.199,50.787,39.412
C19,2011,110.14,59.326,50.814
C19,2012,96.05799999999999,59.062,36.995999999999995
C19,2013,102.047,58.660000000000004,43.38699999999999
C19,2014,92.648,56.9,35.748
C19,2015,83.808,53.884,29.924000000000007
C19,2016,84.132,48.458,35.67400000000001
C19,2017,90.041,52.77,37.270999999999994
C19,2018,97.359,56.418,40.940999999999995
C19,2019,92.598,54.973,37.625
C19,2020,80.646,39.845,40.801
C19,2021,100.994,42.689,58.305
C19,2022,133.48499999999999,46.371,87.11399999999998
C20,2008,126.203,100.81400000000001,25.388999999999996
C20,2009,95.458,83.874,11.584000000000003
C20,2010,107.695,90.334,17.36099999999999
C20,2011,111.215,97.798,13.417000000000002
C20,2012,102.935,102.565,0.37000000000000455
C20,2013,97.31,97.44500000000001,-0.13500000000000512
C20,2014,105.181,94.231,10.950000000000003
C20,2015,88.955,91.542,-2.5870000000000033
C20,2016,85.728,88.037,-2.3090000000000117
C20,2017,96.057,96.405,-0.347999999999999
C20,2018,106.693,92.17699999999999,14.516000000000005
C20,2019,97.737,91.769,5.967999999999989
C20,2020,89.973,79.97,10.003
C20,2021,109.712,100.804,8.908000000000001
C20,2022,139.34,97.045,42.295
C23,2008,33.841,28.608,5.2330000000000005
C23,2009,24.712,21.706,3.0060000000000002
C23,2010,26.894000000000002,24.554,2.3400000000000034
C23,2011,25.025,27.485,-2.460000000000001
C23,2012,24.213,27.232,-3.0189999999999984
C23,2013,24.441,27.308,-2.867000000000001
C23,2014,28.268,27.327,0.940999999999999
C23,2015,27.612000000000002,28.562,-0.9499999999999993
C23,2016,27.858,27.111,0.7469999999999999
C23,2017,33.318,26.982,6.3359999999999985
C23,2018,36.923,28.139,8.784000000000002
C23,2019,35.848,28.041,7.806999999999999
C23,2020,38.669000000000004,24.927,13.742000000000004
C23,2021,44.07,27.468,16.602
C23,2022,51.412,29.483,21.929
