year,sector,prodcom,product_label,quantity,prodcom_unit,quantity_flag,cn8_code,extra_eu_import_quantity_100kg,product,prodcom_unit_code,official_prodcom_cn_reference,production_kg,extra_eu_import_kg,production_confidential,extra_eu_import_share_prod_plus_import_pct
2008,C20,20141130,Ethylene,11942340149,KG,:R,29012100,14475950.51,Ethylene,KG,Reference to HS/CN: 2901 21,11942340149.0,1447595051.0,False,10.811068383661782
2009,C20,20141130,Ethylene,9925745293,KG,,29012100,12290100.53,Ethylene,KG,Reference to HS/CN: 2901 21,9925745293.0,1229010053.0,False,11.017812716445748
2010,C20,20141130,Ethylene,12254214388,KG,:R,29012100,11949305.09,Ethylene,KG,Reference to HS/CN: 2901 21,12254214388.0,1194930509.0,False,8.884806566895893
2011,C20,20141130,Ethylene,12205877854,KG,:R,29012100,11784767.1,Ethylene,KG,Reference to HS/CN: 2901 21,12205877854.0,1178476710.0,False,8.804882628929734
2012,C20,20141130,Ethylene,11713151143,KG,,29012100,10051483.95,Ethylene,KG,Reference to HS/CN: 2901 21,11713151143.0,1005148394.9999999,False,7.903166551446572
2013,C20,20141130,Ethylene,10341059562,KG,,29012100,11650942.44,Ethylene,KG,Reference to HS/CN: 2901 21,10341059562.0,1165094244.0,False,10.12583582354383
2014,C20,20141130,Ethylene,11024052039,KG,,29012100,8140493.33,Ethylene,KG,Reference to HS/CN: 2901 21,11024052039.0,814049333.0,False,6.876519362517248
2015,C20,20141130,Ethylene,10657337064,KG,,29012100,11288497.22,Ethylene,KG,Reference to HS/CN: 2901 21,10657337064.0,1128849722.0,False,9.577734873003056
2016,C20,20141130,Ethylene,10860380936,KG,:E,29012100,12494754.16,Ethylene,KG,Reference to HS/CN: 2901 21,10860380936.0,1249475416.0,False,10.317838458865312
2017,C20,20141130,Ethylene,11744647134,KG,,29012100,13260811.02,Ethylene,KG,Reference to HS/CN: 2901 21,11744647134.0,1326081102.0,False,10.145426314867802
2018,C20,20141130,Ethylene,10690057552,KG,,29012100,13781882.66,Ethylene,KG,Reference to HS/CN: 2901 21,10690057552.0,1378188266.0,False,11.419955201313583
2019,C20,20141130,Ethylene,9817689027,KG,,29012100,14192513.76,Ethylene,KG,Reference to HS/CN: 2901 21,9817689027.0,1419251376.0,False,12.63022962746241
2020,C20,20141130,Ethylene,9735333157,KG,,29012100,12970941.11,Ethylene,KG,Reference to HS/CN: 2901 21,9735333157.0,1297094111.0,False,11.757105480878844
2021,C20,20141130,Ethylene,10000000000,KG,:R,29012100,8898518.83,Ethylene,KG,Reference to HS/CN: 2901 21,10000000000.0,889851883.0,False,8.17138646659773
2022,C20,20141130,Ethylene,9087159767,KG,:E,29012100,12503339.99,Ethylene,KG,Reference to HS/CN: 2901 21,9087159767.0,1250333999.0,False,12.09513666757746
2008,C20,20165130,"Polypropylene, in primary forms",9436742620,KG,,39021000,5706035.45,Polypropylene,KG,Reference to HS/CN: 3902 10,9436742620.0,570603545.0,False,5.701846779275472
