sector,indicator,expected_direction,n_years,start_year,end_year,rho,p_one_sided,trend_result,q_bh
C17,production_million_2020_eur,down,15,2008.0,2022.0,0.2928571428571428,0.8552641663937995,Opposite direction,0.9999134261412466
C17,domestic_emissions_mt,down,15,2008.0,2022.0,-0.9178571428571428,7.088484257503129e-07,Expected direction; q<0.05,3.1898179158764083e-06
C17,extra_eu_import_million_2020_eur,up,15,2008.0,2022.0,0.05357142857142857,0.4248049683888036,No clear monotonic trend,0.6670844472554615
C17,extra_eu_embodied_import_carbon_mtco2e,up,0,,,,,Insufficient comparable data,
C19,production_million_2020_eur,down,15,2008.0,2022.0,0.8214285714285712,0.9999134261412465,Opposite direction,0.9999134261412466
C19,domestic_emissions_mt,down,15,2008.0,2022.0,-0.9642857142857141,3.536151504602128e-09,Expected direction; q<0.05,3.182536354141915e-08
C19,extra_eu_import_million_2020_eur,up,15,2008.0,2022.0,-0.4428571428571427,0.9508529672265643,Opposite direction,0.9999134261412466
C19,extra_eu_embodied_import_carbon_mtco2e,up,15,2008.0,2022.0,0.039285714285714285,0.44472296483697427,No clear monotonic trend,0.6670844472554615
C20,production_million_2020_eur,down,15,2008.0,2022.0,0.4892857142857142,0.9679198068427297,Opposite direction,0.9999134261412466
C20,domestic_emissions_mt,down,15,2008.0,2022.0,-0.9392857142857142,1.0472900968342758e-07,Expected direction; q<0.05,6.283740581005655e-07
C20,extra_eu_import_million_2020_eur,up,15,2008.0,2022.0,0.9892857142857142,1.4994671285775311e-12,Expected direction; q<0.05,2.6990408314395562e-11
C20,extra_eu_embodied_import_carbon_mtco2e,up,15,2008.0,2022.0,-0.04642857142857142,0.5652542372274527,Opposite direction,0.7826597130841654
C23,production_million_2020_eur,down,15,2008.0,2022.0,0.2178571428571428,0.7823036632422312,Opposite direction,0.9999134261412466
C23,domestic_emissions_mt,down,15,2008.0,2022.0,-0.6928571428571427,0.0020951164801490682,Expected direction; q<0.05,0.005387442377526175
C23,extra_eu_import_million_2020_eur,up,15,2008.0,2022.0,0.6964285714285713,0.001960595253439777,Expected direction; q<0.05,0.005387442377526175
C23,extra_eu_embodied_import_carbon_mtco2e,up,15,2008.0,2022.0,0.7678571428571428,0.00041466481456849694,Expected direction; q<0.05,0.001492793332446589
C24,production_million_2020_eur,down,15,2008.0,2022.0,-0.10714285714285714,0.35195050081308077,No clear monotonic trend,0.6335109014635454
C24,domestic_emissions_mt,down,15,2008.0,2022.0,-0.5964285714285712,0.009465962343932587,Expected direction; q<0.05,0.02129841527384832
C24,extra_eu_import_million_2020_eur,up,15,2008.0,2022.0,0.5642857142857142,0.014216261074354267,Expected direction; q<0.05,0.02843252214870853
C24,extra_eu_embodied_import_carbon_mtco2e,up,0,,,,,Insufficient comparable data,
