prodcom_code,sector,product_label,cn8_codes,official_units,n_cn8_codes,all_cn8_unique_to_product,quantity_years,quantity_valid_years,quantity_units,confidential_flag_years,label_variants,one_cn_or_grouped_cn8,official_kg_unit,annual_kg_stable,complete_15y_quantity,no_confidential_quantity_flags,eligible_strict_match,cn8_codes_joined,official_units_joined
17111100,C17,"Chemical wood pulp, dissolving grades",['47020000'],['KG_90PCT_SDT'],1,True,15,15,['KG_90PCT_SDT'],0,1,True,False,False,True,True,False,47020000,KG_90PCT_SDT
17111200,C17,"Chemical wood pulp, soda or sulphate, other than dissolving grades","['47031100', '47031900', '47032100', '47032900']",['KG_90PCT_SDT'],4,True,15,15,['KG_90PCT_SDT'],0,1,True,False,False,True,True,False,47031100|47031900|47032100|47032900,KG_90PCT_SDT
17111300,C17,"Chemical wood pulp, sulphite, other than dissolving grades","['47041100', '47041900', '47042100', '47042900']",['KG_90PCT_SDT'],4,True,15,15,['KG_90PCT_SDT'],0,1,True,False,False,True,True,False,47041100|47041900|47042100|47042900,KG_90PCT_SDT
17111400,C17,Mechanical wood pulp; semi-chemical wood pulp; pulps of fibrous cellulosic material other than wood,"['47010010', '47010090', '47050000', '47061000', '47062000', '47063000', '47069100', '47069200', '47069300']",['KG_90PCT_SDT'],9,True,15,15,['KG_90PCT_SDT'],0,1,True,False,False,True,True,False,47010010|47010090|47050000|47061000|47062000|47063000|47069100|47069200|47069300,KG_90PCT_SDT
17121100,C17,Newsprint in rolls or sheets,['48010000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48010000,KG
17121200,C17,Handmade paper and paperboard,['48021000'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48021000,KG
17121300,C17,"Paper and paperboard used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper; carbonising base paper; wallpaper base","['48022000', '48024010', '48024090']",['KG'],3,True,15,15,['KG'],0,1,True,True,True,True,True,True,48022000|48024010|48024090,KG
17121410,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight < 40 g/m²",['48025400'],['KG'],1,True,15,15,['KG'],0,1,True,True,True,True,True,True,48025400,KG
17121435,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², in rolls","['48025515', '48025525', '48025530', '48025590']",['KG'],4,True,15,15,['KG'],0,1,True,True,True,True,True,True,48025515|48025525|48025530|48025590,KG
17121439,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight >= 40 g/m² but <= 150 g/m², sheets","['48025620', '48025680', '48025700']",['KG'],3,True,15,15,['KG'],0,1,True,True,True,True,True,True,48025620|48025680|48025700,KG
17121450,C17,"Graphic paper, paperboard : mechanical fibres <= 10 %, weight > 150 g/m²","['48025810', '48025890']",['KG'],2,True,15,15,['KG'],0,1,True,True,True,True,True,True,48025810|48025890,KG
