partner_label,value
United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000),183005162319.0
Russian Federation (Russia),169535048392.0
China,107108036590.0
Countries and territories not specified for commercial or military reasons in the framework of extra-Union trade,106265612032.0
United Kingdom,105119650759.0
Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997),82825524243.0
Switzerland (incl. Liechtenstein 'LI' -> 1994),75455203509.0
Algeria,41557370828.0
Saudi Arabia,40399899446.0
Azerbaijan,30958384091.0
