project_id,name,country,category,project_type,project_type_source,protocol,registry,status,first_issuance_at,issued,retired,project_url,review_priority,project_report_found,leakage_reporting_status,leakage_amount_tCO2e,leakage_method_or_basis,monitoring_period,verification_status,review_notes,leakage_evidence_type,report_source_url,report_source_section,review_checked_date,leakage_factor_pct,activity_shifting_status
VCS3392,Arbonics afforestation project one,Estonia,forest,Afforestation + Reforestation,berkeley,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3392,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3677,Ecobase Europe Afforestation Project,Estonia,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,unknown,2024-11-08 00:00:00+00:00,230.0,63.0,https://registry.verra.org/app/projectDetail/VCS/3677,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3750,Project 2,Estonia,unknown,Afforestation + Reforestation,berkeley,,verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3750,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3795,Project 1,Estonia,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3795,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5516,Arbonics Afforestation Project Three,Estonia,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5516,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
GLD12136,humusCO2mp,Germany,unknown,Afforestation + Reforestation,berkeley,,gold-standard,listed,,0.0,0.0,https://registry.goldstandard.org/projects?q=gs12136,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS5485,German Forest Restoration: Rebuilding Climate-Resilient Forests After Bark Beetle Damage,Germany,forest,Afforestation + Reforestation,carbonplan,['vm0047'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/5485,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3040,RIMBOSCHIMENTO PROGETTO DELLA SOCIETA' AGRICOLA GAIA SRL BAMBOO PLANT,Italy,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3040,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS3211,BISIGNANO AND MESORACA PROJECT OF AFFORESTATION OF THE AGRICULTURAL COMPANY GAIA SRL BAMBOO PLANTS,Italy,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,registered,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/3211,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4270,BAMBOO MONTEMILONE,Italy,forest,Afforestation + Reforestation,berkeley,['ar-ams0007'],verra,completed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4270,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4527,basilicata bamboo,Italy,forest,Afforestation + Reforestation,berkeley,['ar-ams0007'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4527,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
VCS4591,PIEMONTE BAMBOO,Italy,forest,Afforestation + Reforestation,berkeley,['ar-acm0003'],verra,listed,,0.0,0.0,https://registry.verra.org/app/projectDetail/VCS/4591,First pass: land/agriculture activities with plausible activity-shifting or market-displacement pathways,Not reviewed,Not reviewed,,,,,,,,,,,
